Reaction #,E.C. #,Gene ID ,Gene Description,equation,Pathway,References,,,,
rxn442,2.7.2.11,geneCsal0477,glutamate 5-kinase, atp + gluL -> adp + glu5p,Glutamate 5-kinase.,"51, 50, 33, 34, 28, 46",,,,
rxn443,2.7.2.15,,Propionate kinase,atp + prop <-> adp + propp,,"5,6,59,52 , 54, 53",,,,
rxn444,2.7.2.3,geneCsal0371,phosphoglycerate kinase, 3pg + atp <-> 13dpg + adp,Glycolysis / Gluconeogenesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn445,2.7.2.4,geneCsal0626,aspartate kinase, aspL + atp <-> 4pasp + adp,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn446,2.7.2.4,geneCsal0626,"aspartate kinase, irreversible", aspL + atp -> 4pasp + adp,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn447,2.7.2.8,geneCsal2984,acetylglutamate kinase, acglu + atp -> acg5p + adp,Urea cycle and metabolism of amino groups,"51, 50, 33, 34,28, 46, 39",,,,
rxn448,2.7.3.9,geneCsal2576,Phosphoenolpyruvate--protein phosphotransferase,pep + PhisL <-> pyr + PnpiphisL,Phosphotransferase system,"52 , 54, 53",,,,
rxn449,2.7.4.1,geneCsal0590,polyphosphate kinase, atp + pi <-> adp + ppi,Oxidative phosphorylation,"51, 50, 33, 34,46",,,,
rxn450,2.7.4.1,geneCsal0590,polyphosphate kinase, atp + ppi <-> adp + pppi,Oxidative phosphorylation,"51, 50, 33, 34,46",,,,
rxn451,2.7.4.14,geneCsal2164,cytidylate kinase (CMP), atp + cmp <-> adp + cdp,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn452,2.7.4.14,geneCsal2164,cytidylate kinase (dCMP), atp + dcmp <-> adp + dcdp,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn453,2.7.4.14,geneCsal2164,UMP kinase, atp + ump <-> adp + udp,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn454,2.7.4.16,geneCsal2581,thiamine-phosphate kinase, atp + thmmp <-> adp + thmpp,Thiamine metabolism,"51, 50, 33, 34, 28, 46",,,,
rxn455,2.7.4.16,geneCsal2581,thiamine-phosphate kinase, atp + thmmp -> adp + thmpp,Thiamine metabolism,"51, 50, 33, 34, 28, 46",,,,
rxn456,2.7.4.3,geneCsal0857,adenylate kinase, amp + atp <-> (2) adp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn457,2.7.4.6,geneCsal2850,nucleoside-diphosphate kinase (ATP:GDP), atp + gdp <-> adp + gtp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn458,2.7.4.6,geneCsal2850,nucleoside-diphosphate kinase (ATP:UDP), atp + udp <-> adp + utp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn459,2.7.4.6,geneCsal2850,nucleoside-diphosphate kinase (ATP:CDP), atp + cdp <-> adp + ctp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn460,2.7.4.6,geneCsal2850,nucleoside-diphosphate kinase (ATP:dTDP), atp + dtdp <-> adp + dttp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn461,2.7.4.6,geneCsal2850,nucleoside-diphosphate kinase (ATP:dGDP), atp + dgdp <-> adp + dgtp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn462,2.7.4.6,geneCsal2850,nucleoside-diphosphate kinase (ATP:dUDP), atp + dudp <-> adp + dutp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn463,2.7.4.6,geneCsal2850,nucleoside-diphosphate kinase (ATP:dCDP), atp + dcdp <-> adp + dctp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn464,2.7.4.6,geneCsal2850,nucleoside-diphosphate kinase (ATP:dADP), atp + dadp <-> adp + datp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn465,2.7.4.6,geneCsal2850,nucleoside-diphosphate kinase (ATP:IDP), atp + idp <-> adp + itp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn466,2.7.4.7,geneCsal3133,phosphomethylpyrimidine kinase, 4ampm + atp -> 2mahmp + adp,Thiamine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn467,2.7.4.8,geneCsal3233,guanylate kinase (GMP:ATP), atp + gmp <-> adp + gdp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn468,2.7.4.8,geneCsal3233,deoxyguanylate kinase (dGMP:ATP), atp + dgmp <-> adp + dgdp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn469,2.7.4.8,geneCsal3233,guanylate kinase (GMP:dATP), datp + gmp <-> dadp + gdp,Purine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn470,2.7.4.9,geneCsal1606,dTMP kinase, atp + dtmp <-> adp + dtdp,Pyrimidine metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn471,2.7.6.1,geneCsal1524,phosphoribosylpyrophosphate synthetase, atp + r5p <-> amp + h + prpp,Pentose phosphate pathway,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn472,2.7.6.3,geneCsal0970,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase, 2ahhmp + atp -> 2ahhmd + amp + h,Folate biosynthesis,"51, 50, 33, 28, 37",,,,
rxn473,2.7.6.5,geneCsal3235,GTP diphosphokinase, atp + gtp -> amp + gdptp + h,Purine metabolism,"51, 50, 33, 34, 39",,,,
rxn474,2.7.7.1,geneCsal1837,nicotinamide-nucleotide adenylyltransferase, atp + h + nmn -> nad + ppi,Nicotinate and nicotinamide metabolism,"51, 50, 33, 34, 28, 46, 37",,,,
rxn475,2.7.7.13,geneCsal0915,mannose-1-phosphate guanylyltransferase, gtp + h + man1p -> gdpmann + ppi,Fructose and mannose metabolism,"51, 50, 33, 28",,,,
rxn476,2.7.7.18,geneCsal1542,nicotinate-nucleotide adenylyltransferase, atp + h + nicrnt -> dnad + ppi,Nicotinate and nicotinamide metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn477,2.7.7.18,geneCsal1542,nicotinate-nucleotide adenylyltransferase, atp + h + nicrnt <-> dnad + ppi,Nicotinate and nicotinamide metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn478,2.7.7.19,geneCsal3063,Polynucleotide adenylyltransferase,atp + rna <-> ppi + rna,RNA degradation,"52 , 54, 53",,,,
rxn479,2.7.7.2,geneCsal0480,FMN adenylyltransferase, atp + fmn + h -> fad + ppi,Riboflavin metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn480,2.7.7.22,geneCsal1692,mannose-1-phosphate guanylyltransferase (GDP), gdp + h + man1p -> gdpmann + pi,Fructose and mannose metabolism,"51, 50, 33, 34,46, 37",,,,
rxn481,2.7.7.23,geneCsal3189,UDP-N-acetylglucosamine diphosphorylase, acgam1p + h + utp -> ppi + uacgam,Aminosugars metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn482,2.7.7.23,geneCsal3189,UDP-N-acetylglucosamine diphosphorylase, acgam1p + h + utp <-> ppi + udpacgal,Aminosugars metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn483,2.7.7.25,geneCsal0924,tRNA adenylyltransferase,atp + trna <-> ppi + trna,,"52 , 54, 53",,,,
rxn484,2.7.7.3,geneCsal2935,pantetheine-phosphate adenylyltransferase, atp + h + pan4p -> dpcoa + ppi,Pantothenate and CoA biosynthesis,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn485,2.7.7.38,geneCsal1589,3-deoxy-manno-octulosonate cytidylyltransferase, ctp + kdo -> ckdo + ppi,Lipopolysaccharide biosynthesis,"51, 50, 33, 34, 37",,,,
rxn486,2.7.7.4,geneCsal2552,sulfate adenylyltransferase, atp + h + so4 -> aps + ppi,Purine metabolism,"51, 50, 33, 28",,,,
rxn487,2.7.7.41,geneCsal0568,CDP-diacylglycerol synthetase (n-C14:0), ctp + h + pa140 -> cdpdtdecg + ppi,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn488,2.7.7.41,geneCsal0568,CDP-diacylglycerol synthetase (n-C16:0), ctp + h + pa160 -> cdpdhdecg + ppi,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn489,2.7.7.41,geneCsal0568,CDP-diacylglycerol synthetase (n-C18:0), ctp + h + pa180 -> cdpdodecg + ppi,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn490,2.7.7.41,geneCsal0568,CDP-diacylglycerol synthetase (n-C14:1), ctp + h + pa141 -> cdpdtdec7eg + ppi,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn491,2.7.7.41,geneCsal0568,CDP-diacylglycerol synthetase (n-C16:1), ctp + h + pa161 -> cdpdhdec9eg + ppi,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn492,2.7.7.41,geneCsal0568,CDP-diacylglycerol synthetase (n-C18:1), ctp + h + pa181 -> cdpdodec11eg + ppi,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn493,2.7.7.41,geneCsal0568,CDP-diacylglycerol synthetase (n-C12:0), ctp + h + pa120 -> cdpdddecg + ppi,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn494,2.7.7.42,geneCsal2926,Glutamine-synthetase adenylyltransferase,atp + alggluL <-> ppi + aalggluL,,"52 , 54, 53",,,,
rxn495,2.7.7.56,geneCsal3206,tRNA nucleotidyltransferase,trna + pi <-> trna + ndp,,"52 , 54, 53",,,,
rxn496,2.7.7.59,geneCsal0561,[Protein-PII] uridylyltransferase,utp + PPII <-> ppi + uPPII,Two-component system - General,"52 , 54, 53",,,,
rxn497,2.7.7.6,geneCsal0414,DNA-directed RNA polymerase,ntp + rna <-> ppi + rna,Purine metabolism,"52 , 54, 53",,,,
rxn498,2.7.7.60,geneCsal2638,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,ctp + 2me4p <-> ppi + 4c2me,Biosynthesis of steroids,"52 , 54, 53",,,,
rxn499,2.7.7.7,geneCsal0548,DNA-directed DNA polymerase,dntp + dna <-> ppi + dna,DNA polymerase,"52 , 54, 53",,,,
rxn500,2.7.7.8,geneCsal3070,Polyribonucleotide nucleotidyltransferase ,rna + pi <-> rna + ntp,Purine metabolism,"52 , 54, 53",,,,
rxn501,2.7.7.9,geneCsal1859,UTP-glucose-1-phosphate uridylyltransferase, g1p + h + utp <-> ppi + udpg,Pentose and glucuronate interconversions,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn502,2.7.7.9,geneCsal1859,UTP-glucose-1-phosphate uridylyltransferase (irreversible), g1p + h + utp -> ppi + udpg,Galactose metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn503,2.7.8.13,geneCsal2193,"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)", udcpp + ugmda -> uagmda + ump,Peptidoglycan biosynthesis,"51, 50, 33, 34, 39, 37",,,,
rxn504,2.7.8.20,geneCsal0010,Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase,pg + mbdoshdglcD <-> 12dgr + mbdos6g3pdglc,Glycerolipid metabolism,"52 , 54, 53",,,,
rxn505,2.7.8.23,geneCsal0251,Carboxyvinyl-carboxyphosphonate phosphorylmutase,1ccvppt<-> 3hppyr + co2,,"52 , 54, 53",,,,
rxn506,2.7.8.5,geneCsal2134,Phosphatidylglycerol synthase (n-C14:0), cdpdtdecg + glyc3p -> cmp + h + pgp140,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn507,2.7.8.5,geneCsal2134,Phosphatidylglycerol synthase (n-C16:0), cdpdhdecg + glyc3p -> cmp + h + pgp160,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn508,2.7.8.5,geneCsal2134,Phosphatidylglycerol synthase (n-C18:0), cdpdodecg + glyc3p -> cmp + h + pgp180,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn509,2.7.8.5,geneCsal2134,Phosphatidylglycerol synthase (n-C14:1), cdpdtdec7eg + glyc3p -> cmp + h + pgp141,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn510,2.7.8.5,geneCsal2134,Phosphatidylglycerol synthase (n-C16:1), cdpdhdec9eg + glyc3p -> cmp + h + pgp161,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn511,2.7.8.5,geneCsal2134,Phosphatidylglycerol synthase (n-C18:1), cdpdodec11eg + glyc3p -> cmp + h + pgp181,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn512,2.7.8.5,geneCsal2134,Phosphatidylglycerol synthase (n-C12:0), cdpdddecg + glyc3p -> cmp + h + pgp120,Glycerophospholipid metabolism,"51, 50, 33, 34,28, 46, 39, 37",,,,
rxn513,2.7.8.6,geneCsal1693,Undecaprenyl-phosphate galactose phosphotransferase,udpgal + udcpp <-> ump + galpund,,"52 , 54, 53",,,,
rxn514,2.7.8.8,geneCsal0505,Phosphatidylserine syntase (n-C14:0), cdpdtdecg + serL -> cmp + h + ps140,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn515,2.7.8.8,geneCsal0505,Phosphatidylserine syntase (n-C16:0), cdpdhdecg + serL -> cmp + h + ps160,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn516,2.7.8.8,geneCsal0505,Phosphatidylserine syntase (n-C18:0), cdpdodecg + serL -> cmp + h + ps180,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn517,2.7.8.8,geneCsal0505,Phosphatidylserine syntase (n-C18:1), cdpdodec11eg + serL -> cmp + h + ps181,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn518,2.7.8.8,geneCsal0505,Phosphatidylserine syntase (n-C16:1), cdpdhdec9eg + serL -> cmp + h + ps161,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn519,2.7.8.8,geneCsal0505,Phosphatidylserine syntase (n-C14:1), cdpdtdec7eg + serL -> cmp + h + ps141,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn520,2.7.8.8,geneCsal0505,Phosphatidylserine syntase (n-C12:0), cdpdddecg + serL -> cmp + h + ps120,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn521,2.7.9.2,geneCsal2062,phosphoenolpyruvate synthase, atp + h2o + pyr -> amp + (2) h + pep + pi,Pyruvate metabolism,"51, 50, 33, 34,46, 37",,,,
rxn522,2.7.9.3,geneCsal0511,Selenophosphate synthase, atp + h2o + seln -> amp + pi + selnp,Selenoamino acid metabolism,"51, 50, 33, 34",,,,
rxn523,2.8.1.1,geneCsal2528,Cyanide sulfurtransferase, cyan + tsul -> h + so3 + tcynt,thiosulfate disproportionation III (rhodanese) ,"51, 50, 33, 34",,,,
rxn524,2.8.1.6,geneCsal1167,biotin synthase, dtbt + s <-> btn + (2) h,Biotin metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn525,2.8.1.6,geneCsal1167,Biotin synthase, amet + dtbt + s -> btn + dad5 + h + metL,Biotin metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn526,2.8.1.7,geneCsal1236,Cysteine desulfurase,cysL + Ecys <-> alaL + Essflcys,alanine biosynthesis III ,"52 , 54, 53",,,,
rxn527,2.8.3.12,geneCsal0299,Glutaconate CoA-transferase,accoa + Egtc <-> ac + gtc1coa,Styrene degradation,"52 , 54, 53",,,,
rxn528,2.8.3.16,geneCsal3187,Formyl-CoA transferase,formcoa + oxa <-> for + oxacoa,,"52 , 54, 53",,,,
rxn529,3.1.1.1,geneCsal0986,Carboxylesterase,ce + h2o <-> alc + cx,Alkaloid biosynthesis II,"52 , 54, 53",,,,
rxn530,3.1.1.10,geneCsal2470,Tropinesterase,atr + h2o <-> tri + ta,,"52 , 54, 53",,,,
rxn531,3.1.1.15,,L-arabinonolactonase,ara14l + h2o <-> arabt,,"5,6,59,52 , 54, 53",,,,
rxn532,3.1.1.17,geneCsal2779,Gluconolactonase,gl + h2o <-> glcn,Pentose phosphate pathway,"52 , 54, 53",,,,
rxn533,3.1.1.2,geneCsal2620,Arylesterase,phac + h2o <-> ph + ac,Bisphenol A degradation,"52 , 54, 53",,,,
rxn534,3.1.1.29,geneCsal1522,Aminoacyl-tRNA hydrolase,NsaAtrna + h2o <-> NsaA + tRNA,,"52 , 54, 53",,,,
rxn535,3.1.1.31,geneCsal2740,6-phosphogluconolactonase, 6pgl + h2o -> 6pgc + h,Pentose phosphate pathway,"51, 50, 33, 34, 28, 37",,,,
rxn536,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylethanolamine, n-C12:0) ", h2o + pe120 -> 2agpe120 + ddca + h,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn537,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylglycerol, n-C12:0) ", h2o + pg120 -> 2agpg120 + ddca + h,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn538,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylethanolamine, n-C14:0) ", h2o + pe140 -> 2agpe140 + h + ttdca,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn539,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylethanolamine, n-C16:0) ", h2o + pe160 -> 2agpe160 + h + hdca,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn540,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylethanolamine, n-C18:0) ", h2o + pe180 -> 2agpe180 + h + ocdca,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn541,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylethanolamine, n-C14:1) ", h2o + pe141 -> 2agpe141 + h + ttdcea,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn542,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylethanolamine, n-C16:1) ", h2o + pe161 -> 2agpe161 + h + hdcea,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn543,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylethanolamine, n-C18:1) ", h2o + pe181 -> 2agpe181 + h + ocdcea,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn544,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylglycerol, n-C14:0) ", h2o + pg140 -> 2agpg140 + h + ttdca,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn545,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylglycerol, n-C16:0) ", h2o + pg160 -> 2agpg160 + h + hdca,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn546,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylglycerol, n-C18:0) ", h2o + pg180 -> 2agpg180 + h + ocdca,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn547,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylglycerol, n-C14:1) ", h2o + pg141 -> 2agpg141 + h + ttdcea,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn548,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylglycerol, n-C16:1) ", h2o + pg161 -> 2agpg161 + h + hdcea,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn549,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidylglycerol, n-C18:1) ", h2o + pg181 -> 2agpg181 + h + ocdcea,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn550,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidate, n-C12:0) ", h2o + pa120 -> 2ddecg3p + ddca,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn551,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidate, n-C14:0) ", h2o + pa140 -> 2tdecg3p + ttdca,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn552,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidate, n-C14:1) ", h2o + pa141 -> 2tdec7eg3p + ttdcea,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn553,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidate, n-C16:0) ", h2o + pa160 -> 2hdecg3p + hdca,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn554,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidate, n-C16:1) ", h2o + pa161 -> 2hdec9eg3p + hdcea,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn555,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidate, n-C18:0) ", h2o + pa180 -> 2odecg3p + ocdca,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn556,3.1.1.32,geneCsal1446,"Phospholipase A1 (phosphatidate, n-C18:1) ", h2o + pa181 -> 2odec11eg3p + ocdcea,Glycerophospholipid metabolism,"51, 50, 33, 34",,,,
rxn557,3.1.1.45,geneCsal2697,Carboxymethylenebutenolidase,4cmb2e4o + h2o <-> 4oh2edt,gamma-Hexachlorocyclohexane degradation,"52 , 54, 53",,,,
rxn558,3.1.1.61,geneCsal2020,Protein-glutamate methylesterase,Pgluo5me + h2o <-> PgluL + meoh,Two-component system - General,"52 , 54, 53",,,,
rxn559,3.1.2.1,geneCsal2939,acetyl-CoA hydrolase, ac + coa + h -> accoa + h2o,,"51, 50, 33, 28",,,,
rxn560,3.1.2.2,geneCsal0838,Palmitoyl-CoA hydrolase,pmtcoa + h2o <-> coa + pmt,"oleate ?-oxidation , acyl-CoA hydrolysis ","52 , 54, 53",,,,
rxn561,3.1.2.6,geneCsal1944,hydroxyacylglutathione hydrolase, h2o + lgtS -> gthrd + h + lacD,Pyruvate metabolism,"51, 50, 33, 34, 28",,,,
rxn562,3.1.3.12,geneCsal0236,trehalose-phosphatase, h2o + tre6p -> pi + tre,Starch and sucrose metabolism,"51, 50, 33, 34, 28",,,,
rxn563,3.1.3.15,geneCsal0005,histidinol-phosphatase, h2o + hisp -> histd + pi,Histidine metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn564,3.1.3.18,geneCsal1857,Phosphoglycolate phosphatase, 2pglyc + h2o -> glyclt + pi,Glyoxylate and dicarboxylate metabolism,"51, 50, 33, 34,46, 39",,,,
rxn565,3.1.3.2,geneCsal2635,"acid phosphatase, extracellular (secreted)", fmn + h2o -> pi + ribflv,gamma-Hexachlorocyclohexane degradation,"51, 50, 33, 28, 46, 37",,,,
rxn566,3.1.3.2,geneCsal2635,"thiamin phosphatase, extracellular", h2o + thmmp -> pi + thm,Riboflavin metabolism,"51, 50, 33, 28, 46, 37",,,,
rxn567,3.1.3.2,geneCsal2635,"thiamin diphosphatase, extracellular", (2) h2o + thmpp -> h + (2) pi + thm,Two-component system - General,"51, 50, 33, 28, 46, 37",,,,
rxn568,3.1.3.25,geneCsal1824,myo-inositol 1-phosphatase, h2o + mi1pD -> inost + pi,Inositol phosphate metabolism,"51, 50, 33, 34,28, 46, 39",,,,
rxn569,3.1.3.27,geneCsal2580,phosphatidylglycerol phosphate phosphatase (n-C14:0), h2o + pgp140 -> pg140 + pi,Glycerophospholipid metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn570,3.1.3.27,geneCsal2580,phosphatidylglycerol phosphate phosphatase (n-C16:0), h2o + pgp160 -> pg160 + pi,Glycerophospholipid metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn571,3.1.3.27,geneCsal2580,phosphatidylglycerol phosphate phosphatase (n-C18:0), h2o + pgp180 -> pg180 + pi,Glycerophospholipid metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn572,3.1.3.27,geneCsal2580,phosphatidylglycerol phosphate phosphatase (n-C14:1), h2o + pgp141 -> pg141 + pi,Glycerophospholipid metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn573,3.1.3.27,geneCsal2580,phosphatidylglycerol phosphate phosphatase (n-C16:1), h2o + pgp161 -> pg161 + pi,Glycerophospholipid metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn574,3.1.3.27,geneCsal2580,phosphatidylglycerol phosphate phosphatase (n-C18:1), h2o + pgp181 -> pg181 + pi,Glycerophospholipid metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn575,3.1.3.27,geneCsal2580,phosphatidylglycerol phosphate phosphatase (n-C14:0), h2o + pgp120 -> pg120 + pi,Glycerophospholipid metabolism,"51, 50, 33, 34, 28, 39, 37",,,,
rxn576,3.1.3.3,geneCsal2542,phosphoserine phosphatase (L-serine), h2o + pserL -> pi + serL,"Glycine, serine and threonine metabolism","51, 50, 33, 34,28, 46, 39, 37",,,,
rxn577,3.1.3.45,geneCsal2222,3-deoxy-manno-octulosonate-8-phosphatase, h2o + kdo8p -> kdo + pi,Lipopolysaccharide biosynthesis,"51, 50, 33, 34, 37",,,,
rxn578,3.1.3.70,geneCsal2604,Mannosyl-3-phosphoglycerate phosphatase,man3pglyc + h2o <-> manglyc + pi,mannosylglycerate biosynthesis I ,"52 , 54, 53",,,,
rxn579,3.1.4.14,geneCsal0682,[acyl-carrier-protein] phosphodiesterase, ACP + h2o -> apoACP + h + pan4p,Pantothenate and CoA biosynthesis,"51, 50, 39",,,,
rxn580,3.1.4.46,geneCsal1506,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine), g3pc + h2o -> chol + glyc3p + h,glycerol degradation I ,"51, 50, 33, 34, 39",,,,
rxn581,3.1.4.46,geneCsal1506,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine), g3pe + h2o -> etha + glyc3p + h,glycerol degradation I ,"51, 50, 33, 34, 39",,,,
rxn582,3.1.4.46,geneCsal1506,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol), g3pg + h2o -> glyc + glyc3p + h,glycerol degradation I ,"51, 50, 33, 34, 39",,,,
rxn583,3.1.4.46,geneCsal1506,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine), g3ps + h2o -> glyc3p + h + serL,glycerol degradation I ,"51, 50, 33, 34, 39",,,,
rxn584,3.1.4.46,geneCsal1506,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol), g3pi + h2o -> glyc3p + h + inost,glycerol degradation I ,"51, 50, 33, 34, 39",,,,
rxn585,3.1.5.1,geneCsal0252,Nucleoside triphosphate tripolyhydrolase, dgtp + h2o -> dgsn + pppi,Purine metabolism,"51, 50, 33, 34",,,,
rxn586,3.1.5.1,geneCsal0252,Nucleoside triphosphate tripolyhydrolase, gtp + h2o -> gsn + pppi,Purine metabolism,"51, 50, 33, 34",,,,
rxn587,3.2.1.20,geneCsal0261,alpha-glucosidase, h2o + malt -> (2) glcD,Galactose metabolism,"51, 50, 33, 28, 39",,,,
rxn588,3.2.2.9,geneCsal2050,S-adenosylhomocysteine nucleosidase, ahcys + h2o -> ade + rhcys,Methionine metabolism,"51, 50, 33, 34, 39, 37",,,,
